Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,dinov2_vitl14,pca,1,IsolationForest,0.48,0.8931297709923665,0.32231404958677684,0.47368421052631576,0.6100621342824395
plantpathology,dinov2_vitl14,pca,1,OneClassSVM,0.44,0.8738738738738738,0.26721763085399447,0.4092827004219409,0.5825139249160483
plantpathology,dinov2_vitl14,pca,1,LOF,0.436,0.900990099009901,0.25068870523415976,0.3922413793103448,0.5888480022521163
plantpathology,dinov2_vitl14,pca,1,GMM,0.346,0.95,0.1046831955922865,0.18858560794044665,0.5450423277231505
plantpathology,dinov2_vits14,tsne,2,IQR+CI,0.49,0.9666666666666667,0.31607629427792916,0.47638603696098564,0.6430005531540022
plantpathology,dinov2_vits14,tsne,2,IsolationForest,0.496,0.9020979020979021,0.35149863760217986,0.5058823529411764,0.6231177398537215
plantpathology,dinov2_vits14,tsne,2,OneClassSVM,0.426,0.8571428571428571,0.2615803814713896,0.40083507306889354,0.5706398147958451
plantpathology,dinov2_vits14,tsne,2,LOF,0.46,0.944954128440367,0.28065395095367845,0.4327731092436975,0.6177705844993957
plantpathology,dinov2_vits14,tsne,2,GMM,0.308,0.92,0.06267029972752043,0.11734693877551021,0.523816352871279
plantpathology,dinov2_vits14,tsne,1,IQR+CI,0.272,0.6153846153846154,0.021798365122615803,0.042105263157894736,0.4921021900801049
plantpathology,dinov2_vits14,tsne,1,IsolationForest,0.546,0.9166666666666666,0.4196185286103542,0.5757009345794393,0.6571776853578087
plantpathology,dinov2_vits14,tsne,1,OneClassSVM,0.296,0.5949367088607594,0.12806539509536785,0.21076233183856502,0.4437319456679847
plantpathology,dinov2_vits14,tsne,1,LOF,0.508,0.9290780141843972,0.3569482288828338,0.515748031496063,0.6408801294790109
plantpathology,dinov2_vits14,tsne,1,GMM,0.274,0.75,0.01634877384196185,0.032,0.5006555899284997
plantpathology,dinov2_vits14,umap,2,IQR+CI,0.44,0.9484536082474226,0.2506811989100817,0.39655172413793105,0.6065436069738378
plantpathology,dinov2_vits14,umap,2,IsolationForest,0.532,0.9130434782608695,0.40054495912806537,0.5568181818181818,0.6476409006166642
plantpathology,dinov2_vits14,umap,2,OneClassSVM,0.534,0.9085365853658537,0.40599455040871935,0.5612052730696798,0.6466062977607506
plantpathology,dinov2_vits14,umap,2,LOF,0.47,0.9396551724137931,0.2970027247956403,0.45134575569358176,0.622185572924136
plantpathology,dinov2_vits14,umap,2,GMM,0.428,0.9764705882352941,0.22615803814713897,0.3672566371681416,0.6055602220810884
plantpathology,dinov2_vits14,umap,1,IQR+CI,0.742,0.9541984732824428,0.6811989100817438,0.794912559618442,0.7954866730859848
plantpathology,dinov2_vits14,umap,1,IsolationForest,0.788,0.9515570934256056,0.7493188010899182,0.8384146341463414,0.8220278215975907
plantpathology,dinov2_vits14,umap,1,OneClassSVM,0.618,0.8577235772357723,0.5749318801089919,0.6884176182707994,0.655886992686075
plantpathology,dinov2_vits14,umap,1,LOF,0.796,0.9461279461279462,0.7656675749318801,0.8463855421686747,0.8226834115260904
plantpathology,dinov2_vits14,umap,1,GMM,0.556,0.9865771812080537,0.40054495912806537,0.5697674418604651,0.6927536825715515
plantpathology,dinov2_vits14,pca,2,IQR+CI,0.436,0.967032967032967,0.23978201634877383,0.38427947598253276,0.6086128126856651
plantpathology,dinov2_vits14,pca,2,IsolationForest,0.488,0.8992805755395683,0.3405994550408719,0.49407114624505927,0.6176681485730675
plantpathology,dinov2_vits14,pca,2,OneClassSVM,0.542,0.8670212765957447,0.444141689373297,0.5873873873873874,0.6280858822806334
plantpathology,dinov2_vits14,pca,2,LOF,0.45,0.9693877551020408,0.25885558583106266,0.40860215053763443,0.6181495974268096
plantpathology,dinov2_vits14,pca,2,GMM,0.434,0.9772727272727273,0.23433242506811988,0.378021978021978,0.6096474155415786
plantpathology,dinov2_vits14,pca,1,IQR+CI,0.436,0.967032967032967,0.23978201634877383,0.38427947598253276,0.6086128126856651
plantpathology,dinov2_vits14,pca,1,IsolationForest,0.488,0.8992805755395683,0.3405994550408719,0.49407114624505927,0.6176681485730675
plantpathology,dinov2_vits14,pca,1,OneClassSVM,0.542,0.8670212765957447,0.444141689373297,0.5873873873873874,0.6280858822806334
plantpathology,dinov2_vits14,pca,1,LOF,0.45,0.9693877551020408,0.25885558583106266,0.40860215053763443,0.6181495974268096
plantpathology,dinov2_vits14,pca,1,GMM,0.434,0.9772727272727273,0.23433242506811988,0.378021978021978,0.6096474155415786
plantpathology,googlenet,tsne,2,IQR+CI,0.578,0.8777777777777778,0.4553314121037464,0.5996204933586338,0.6557702812152719
plantpathology,googlenet,tsne,2,IsolationForest,0.562,0.9,0.414985590778098,0.5680473372781065,0.6552052136897026
plantpathology,googlenet,tsne,2,OneClassSVM,0.474,0.8333333333333334,0.3025936599423631,0.4439746300211416,0.5826693789907894
plantpathology,googlenet,tsne,2,LOF,0.616,0.8672985781990521,0.5273775216138329,0.6559139784946236,0.6721854928330603
plantpathology,googlenet,tsne,2,GMM,0.304,0.3333333333333333,0.002881844380403458,0.005714285714285714,0.4949049744777835
plantpathology,googlenet,tsne,1,IQR+CI,0.534,0.9071428571428571,0.3659942363112392,0.5215605749486653,0.6405134580249007
plantpathology,googlenet,tsne,1,IsolationForest,0.688,0.9282511210762332,0.5965417867435159,0.7263157894736842,0.7459833116724115
plantpathology,googlenet,tsne,1,OneClassSVM,0.612,0.8883248730964467,0.5043227665706052,0.6433823529411765,0.6802659584487014
