Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,regnet_x_16gf,tsne,2,DBSCAN,0.810870666040303
plantvillage,regnet_x_16gf,tsne,1,KMeans,0.813693810358624
plantvillage,regnet_x_16gf,tsne,1,Hierarchical,0.804966435352665
plantvillage,regnet_x_16gf,tsne,1,GMM,0.858501593395101
plantvillage,regnet_x_16gf,tsne,1,DBSCAN,0.631125001676705
plantvillage,regnet_x_16gf,umap,2,KMeans,0.781771891007183
plantvillage,regnet_x_16gf,umap,2,Hierarchical,0.693669365152065
plantvillage,regnet_x_16gf,umap,2,GMM,0.781771891007183
plantvillage,regnet_x_16gf,umap,2,DBSCAN,0.792841374756427
plantvillage,regnet_x_16gf,umap,1,KMeans,0.858408387148407
plantvillage,regnet_x_16gf,umap,1,Hierarchical,0.871069993270483
plantvillage,regnet_x_16gf,umap,1,GMM,0.943349552146737
plantvillage,regnet_x_16gf,umap,1,DBSCAN,0.668962255785771
plantvillage,regnet_x_16gf,pca,2,KMeans,0.717556209418104
plantvillage,regnet_x_16gf,pca,2,Hierarchical,0.777584311432802
plantvillage,regnet_x_16gf,pca,2,GMM,0.757338157156633
plantvillage,regnet_x_16gf,pca,2,DBSCAN,0.701793542754198
plantvillage,regnet_x_16gf,pca,1,KMeans,0.717556209418104
plantvillage,regnet_x_16gf,pca,1,Hierarchical,0.777584311432802
plantvillage,regnet_x_16gf,pca,1,GMM,0.757338157156633
plantvillage,regnet_x_16gf,pca,1,DBSCAN,0.701793542754198
plantvillage,regnet_x_1_6gf,tsne,2,KMeans,0.442515689678195
plantvillage,regnet_x_1_6gf,tsne,2,Hierarchical,0.532565589681907
plantvillage,regnet_x_1_6gf,tsne,2,GMM,0.439237362813426
plantvillage,regnet_x_1_6gf,tsne,2,DBSCAN,0.591875777189682
plantvillage,regnet_x_1_6gf,tsne,1,KMeans,0.728043226184357
plantvillage,regnet_x_1_6gf,tsne,1,Hierarchical,0.601707135547493
plantvillage,regnet_x_1_6gf,tsne,1,GMM,0.730843536357057
plantvillage,regnet_x_1_6gf,tsne,1,DBSCAN,0.781409324893476
plantvillage,regnet_x_1_6gf,umap,2,KMeans,0.492520639764584
plantvillage,regnet_x_1_6gf,umap,2,Hierarchical,0.495981473913636
plantvillage,regnet_x_1_6gf,umap,2,GMM,0.489059051148595
plantvillage,regnet_x_1_6gf,umap,2,DBSCAN,0.558941721499467
plantvillage,regnet_x_1_6gf,umap,1,KMeans,0.699396972107683
plantvillage,regnet_x_1_6gf,umap,1,Hierarchical,0.52255031585133
plantvillage,regnet_x_1_6gf,umap,1,GMM,0.730306225022679
plantvillage,regnet_x_1_6gf,umap,1,DBSCAN,0.34422742901705
plantvillage,regnet_x_1_6gf,pca,2,KMeans,0.322129453139682
plantvillage,regnet_x_1_6gf,pca,2,Hierarchical,0.3254128070882
plantvillage,regnet_x_1_6gf,pca,2,GMM,0.331550802139037
plantvillage,regnet_x_1_6gf,pca,2,DBSCAN,0.330954504906334
plantvillage,regnet_x_1_6gf,pca,1,KMeans,0.322129453139682
plantvillage,regnet_x_1_6gf,pca,1,Hierarchical,0.3254128070882
plantvillage,regnet_x_1_6gf,pca,1,GMM,0.331550802139037
plantvillage,regnet_x_1_6gf,pca,1,DBSCAN,0.330954504906334
plantvillage,regnet_x_32gf,tsne,2,KMeans,0.70973399412135
plantvillage,regnet_x_32gf,tsne,2,Hierarchical,0.701744028730967
plantvillage,regnet_x_32gf,tsne,2,GMM,0.756193909168344
plantvillage,regnet_x_32gf,tsne,2,DBSCAN,0.504470022145064
plantvillage,regnet_x_32gf,tsne,1,KMeans,0.801596991599922
plantvillage,regnet_x_32gf,tsne,1,Hierarchical,0.930719135374809
plantvillage,regnet_x_32gf,tsne,1,GMM,0.933789032941533
plantvillage,regnet_x_32gf,tsne,1,DBSCAN,0.83424229226659
plantvillage,regnet_x_32gf,umap,2,KMeans,0.888322920479715
plantvillage,regnet_x_32gf,umap,2,Hierarchical,0.933919873126156
plantvillage,regnet_x_32gf,umap,2,GMM,0.917460841518467
plantvillage,regnet_x_32gf,umap,2,DBSCAN,0.496395433065434
plantvillage,regnet_x_32gf,umap,1,KMeans,0.839675404357129
plantvillage,regnet_x_32gf,umap,1,Hierarchical,0.884497721171256
plantvillage,regnet_x_32gf,umap,1,GMM,0.902020278641685
plantvillage,regnet_x_32gf,umap,1,DBSCAN,0.790455713270531
plantvillage,regnet_x_32gf,pca,2,KMeans,0.307342172966555
plantvillage,regnet_x_32gf,pca,2,Hierarchical,0.318491594729668
plantvillage,regnet_x_32gf,pca,2,GMM,0.264632565559876
plantvillage,regnet_x_32gf,pca,2,DBSCAN,0.340234184836916
plantvillage,regnet_x_32gf,pca,1,KMeans,0.307342172966555
plantvillage,regnet_x_32gf,pca,1,Hierarchical,0.318491594729668
plantvillage,regnet_x_32gf,pca,1,GMM,0.264632565559876
plantvillage,regnet_x_32gf,pca,1,DBSCAN,0.340234184836916
plantvillage,regnet_x_3_2gf,tsne,2,KMeans,0.5314599953146
plantvillage,regnet_x_3_2gf,tsne,2,Hierarchical,0.62149412846677
plantvillage,regnet_x_3_2gf,tsne,2,GMM,0.541258810620478
plantvillage,regnet_x_3_2gf,tsne,2,DBSCAN,0.321633479581505
plantvillage,regnet_x_3_2gf,tsne,1,KMeans,0.709545852009025
plantvillage,regnet_x_3_2gf,tsne,1,Hierarchical,0.731101371692083
plantvillage,regnet_x_3_2gf,tsne,1,GMM,0.721016358864935
plantvillage,regnet_x_3_2gf,tsne,1,DBSCAN,0.628031085534406
plantvillage,regnet_x_3_2gf,umap,2,KMeans,0.61069849206494
plantvillage,regnet_x_3_2gf,umap,2,Hierarchical,0.368610213944001
plantvillage,regnet_x_3_2gf,umap,2,GMM,0.555352520176641
plantvillage,regnet_x_3_2gf,umap,2,DBSCAN,0.766980508234405
plantvillage,regnet_x_3_2gf,umap,1,KMeans,0.714400301398831
plantvillage,regnet_x_3_2gf,umap,1,Hierarchical,0.803288516420725
plantvillage,regnet_x_3_2gf,umap,1,GMM,0.746411570965041
plantvillage,regnet_x_3_2gf,pca,2,KMeans,0.304560397875748
plantvillage,regnet_x_3_2gf,pca,2,Hierarchical,0.333205143314374
plantvillage,regnet_x_3_2gf,pca,2,GMM,0.306764299861953
plantvillage,regnet_x_3_2gf,pca,2,DBSCAN,0.366909193990362
plantvillage,regnet_x_3_2gf,pca,1,KMeans,0.304560397875748
plantvillage,regnet_x_3_2gf,pca,1,Hierarchical,0.333205143314374
plantvillage,regnet_x_3_2gf,pca,1,GMM,0.306764299861953
plantvillage,regnet_x_3_2gf,pca,1,DBSCAN,0.366909193990362
plantvillage,regnet_x_400mf,tsne,2,KMeans,0.392065945388975
plantvillage,regnet_x_400mf,tsne,2,Hierarchical,0.364882123502813
plantvillage,regnet_x_400mf,tsne,2,GMM,0.395874094669276
plantvillage,regnet_x_400mf,tsne,2,DBSCAN,0.504341836767536
plantvillage,regnet_x_400mf,tsne,1,KMeans,0.282765158602452
plantvillage,regnet_x_400mf,tsne,1,Hierarchical,0.295937717085871
plantvillage,regnet_x_400mf,tsne,1,GMM,0.295417394735359
plantvillage,regnet_x_400mf,tsne,1,DBSCAN,0.248606011151911
plantvillage,regnet_x_400mf,umap,2,KMeans,0.408499128152361
plantvillage,regnet_x_400mf,umap,2,Hierarchical,0.395412576658585
plantvillage,regnet_x_400mf,umap,2,GMM,0.40026091741531
plantvillage,regnet_x_400mf,umap,2,DBSCAN,0
plantvillage,regnet_x_400mf,umap,1,KMeans,0.632258301768838
plantvillage,regnet_x_400mf,umap,1,Hierarchical,0.649994217295764
plantvillage,regnet_x_400mf,umap,1,GMM,0.630412152048441
plantvillage,regnet_x_400mf,umap,1,DBSCAN,0.387524132880634
plantvillage,regnet_x_400mf,pca,2,KMeans,0.213867508716532
plantvillage,regnet_x_400mf,pca,2,Hierarchical,0.179762889440309
plantvillage,regnet_x_400mf,pca,2,GMM,0.21738844497057
plantvillage,regnet_x_400mf,pca,2,DBSCAN,0.29123879700034
plantvillage,regnet_x_400mf,pca,1,KMeans,0.213867508716532
plantvillage,regnet_x_400mf,pca,1,Hierarchical,0.179762889440309
plantvillage,regnet_x_400mf,pca,1,GMM,0.21738844497057
plantvillage,regnet_x_400mf,pca,1,DBSCAN,0.29123879700034
plantvillage,regnet_x_800mf,tsne,2,KMeans,0.32697904540163
plantvillage,regnet_x_800mf,tsne,2,Hierarchical,0.369906251472182
plantvillage,regnet_x_800mf,tsne,2,GMM,0.327158548117256
plantvillage,regnet_x_800mf,tsne,2,DBSCAN,0.253506712419481
plantvillage,regnet_x_800mf,tsne,1,KMeans,0.494301045313049
plantvillage,regnet_x_800mf,tsne,1,Hierarchical,0.493991144845035
